,raw_coeff,abs_coeff,sign
company_encoded,0.015902143883412125,0.015902143883412125,1.0
v5,0.015902143883412125,0.015902143883412125,1.0
v37,0.015902143883412125,0.015902143883412125,1.0
v9,0.015902143883412125,0.015902143883412125,1.0
v8,0.015902143883412125,0.015902143883412125,1.0
v7,0.015902143883412125,0.015902143883412125,1.0
v6,0.015902143883412125,0.015902143883412125,1.0
v56,0.015902143883412125,0.015902143883412125,1.0
v55,0.015902143883412125,0.015902143883412125,1.0
v54,0.015902143883412125,0.015902143883412125,1.0
v53,0.015902143883412125,0.015902143883412125,1.0
v52,0.015902143883412125,0.015902143883412125,1.0
v51,0.015902143883412125,0.015902143883412125,1.0
v50,0.015902143883412125,0.015902143883412125,1.0
v49,0.015902143883412125,0.015902143883412125,1.0
v22,0.015902143883412125,0.015902143883412125,1.0
v48,0.015902143883412125,0.015902143883412125,1.0
v47,0.015902143883412125,0.015902143883412125,1.0
v46,0.015902143883412125,0.015902143883412125,1.0
v45,0.015902143883412125,0.015902143883412125,1.0
v44,0.015902143883412125,0.015902143883412125,1.0
v43,0.015902143883412125,0.015902143883412125,1.0
v42,0.015902143883412125,0.015902143883412125,1.0
v41,0.015902143883412125,0.015902143883412125,1.0
v40,0.015902143883412125,0.015902143883412125,1.0
v4,0.015902143883412125,0.015902143883412125,1.0
v39,0.015902143883412125,0.015902143883412125,1.0
v38,0.015902143883412125,0.015902143883412125,1.0
v36,0.015902143883412125,0.015902143883412125,1.0
v35,0.015902143883412125,0.015902143883412125,1.0
v34,0.015902143883412125,0.015902143883412125,1.0
v10,0.015902143883412125,0.015902143883412125,1.0
v33,0.015902143883412125,0.015902143883412125,1.0
v32,0.015902143883412125,0.015902143883412125,1.0
v31,0.015902143883412125,0.015902143883412125,1.0
v30,0.015902143883412125,0.015902143883412125,1.0
v3,0.015902143883412125,0.015902143883412125,1.0
v29,0.015902143883412125,0.015902143883412125,1.0
v28,0.015902143883412125,0.015902143883412125,1.0
v27,0.015902143883412125,0.015902143883412125,1.0
v26,0.015902143883412125,0.015902143883412125,1.0
v25,0.015902143883412125,0.015902143883412125,1.0
v24,0.015902143883412125,0.015902143883412125,1.0
v23,0.015902143883412125,0.015902143883412125,1.0
v21,0.015902143883412125,0.015902143883412125,1.0
salary,0.015902143883412125,0.015902143883412125,1.0
v20,0.015902143883412125,0.015902143883412125,1.0
v2,0.015902143883412125,0.015902143883412125,1.0
v19,0.015902143883412125,0.015902143883412125,1.0
v18,0.015902143883412125,0.015902143883412125,1.0
v17,0.015902143883412125,0.015902143883412125,1.0
v16,0.015902143883412125,0.015902143883412125,1.0
v15,0.015902143883412125,0.015902143883412125,1.0
v14,0.015902143883412125,0.015902143883412125,1.0
v13,0.015902143883412125,0.015902143883412125,1.0
v12,0.015902143883412125,0.015902143883412125,1.0
v11,0.015902143883412125,0.015902143883412125,1.0
v1,0.015902143883412125,0.015902143883412125,1.0
