,raw_coeff,abs_coeff,sign
salary,5.136190835410337e-06,5.136190835410337e-06,1.0
company_encoded,3.2886720247791916e-10,3.2886720247791916e-10,1.0
v3,5.764506746454246e-11,5.764506746454246e-11,1.0
v56,5.365654969683579e-11,5.365654969683579e-11,1.0
v27,5.2069449022072765e-11,5.2069449022072765e-11,1.0
v38,5.105466791266143e-11,5.105466791266143e-11,1.0
v24,5.078335235715881e-11,5.078335235715881e-11,1.0
v1,4.97242504935178e-11,4.97242504935178e-11,1.0
v43,4.9693458684824346e-11,4.9693458684824346e-11,1.0
v13,4.9107240936446075e-11,4.9107240936446075e-11,1.0
v20,4.8784046541510254e-11,4.8784046541510254e-11,1.0
v48,4.8514415226065855e-11,4.8514415226065855e-11,1.0
v53,4.846402582783349e-11,4.846402582783349e-11,1.0
v46,4.691378478630146e-11,4.691378478630146e-11,1.0
v35,4.613744221101342e-11,4.613744221101342e-11,1.0
v17,4.608749255613548e-11,4.608749255613548e-11,1.0
v21,4.5791134303683173e-11,4.5791134303683173e-11,1.0
v31,4.550109928730146e-11,4.550109928730146e-11,1.0
v12,4.5495506636598447e-11,4.5495506636598447e-11,1.0
v19,4.510158452629714e-11,4.510158452629714e-11,1.0
v25,4.507758797388962e-11,4.507758797388962e-11,1.0
v54,4.5024890763786126e-11,4.5024890763786126e-11,1.0
v42,4.3569710720753725e-11,4.3569710720753725e-11,1.0
v6,4.330180036578121e-11,4.330180036578121e-11,1.0
v22,4.300114052933323e-11,4.300114052933323e-11,1.0
v33,4.227386133814741e-11,4.227386133814741e-11,1.0
v7,4.22215611759072e-11,4.22215611759072e-11,1.0
v18,4.200278423917612e-11,4.200278423917612e-11,1.0
v26,4.1907450154808754e-11,4.1907450154808754e-11,1.0
v30,4.176348813928749e-11,4.176348813928749e-11,1.0
v44,4.11518403187807e-11,4.11518403187807e-11,1.0
v15,4.094406766937019e-11,4.094406766937019e-11,1.0
v32,4.0938894629155614e-11,4.0938894629155614e-11,1.0
v40,4.0800004913408065e-11,4.0800004913408065e-11,1.0
v2,4.071825140104428e-11,4.071825140104428e-11,1.0
v14,4.055170358145241e-11,4.055170358145241e-11,1.0
v28,3.987131676638143e-11,3.987131676638143e-11,1.0
v34,3.930238984935444e-11,3.930238984935444e-11,1.0
v52,3.9241716839532914e-11,3.9241716839532914e-11,1.0
v41,3.852837949495675e-11,3.852837949495675e-11,1.0
v39,3.833840340487346e-11,3.833840340487346e-11,1.0
v16,3.719010628559823e-11,3.719010628559823e-11,1.0
v23,3.715422524412592e-11,3.715422524412592e-11,1.0
v9,3.642864032909826e-11,3.642864032909826e-11,1.0
v47,3.640579282633253e-11,3.640579282633253e-11,1.0
v29,3.630572611465728e-11,3.630572611465728e-11,1.0
v10,3.616852527896729e-11,3.616852527896729e-11,1.0
v55,3.597101207674344e-11,3.597101207674344e-11,1.0
v37,3.5633305351586036e-11,3.5633305351586036e-11,1.0
v45,3.553566683661957e-11,3.553566683661957e-11,1.0
v51,3.500691925133047e-11,3.500691925133047e-11,1.0
v50,3.481754643606583e-11,3.481754643606583e-11,1.0
v49,3.45743145757247e-11,3.45743145757247e-11,1.0
v4,3.443339486560251e-11,3.443339486560251e-11,1.0
v11,3.3765047036455375e-11,3.3765047036455375e-11,1.0
v36,3.034116609040116e-11,3.034116609040116e-11,1.0
v8,2.91450829342155e-11,2.91450829342155e-11,1.0
v5,2.745203221754566e-11,2.745203221754566e-11,1.0
