,raw_coeff,abs_coeff,sign
company_encoded,-93.44598260988494,93.44598260988494,-1.0
v45,-22.756037835303545,22.756037835303545,-1.0
v5,-21.240102303099988,21.240102303099988,-1.0
v3,19.42505406719411,19.42505406719411,1.0
v27,18.286504539635906,18.286504539635906,1.0
v51,-17.505667550413335,17.505667550413335,-1.0
v37,-14.894874138886735,14.894874138886735,-1.0
v13,14.757381368000225,14.757381368000225,1.0
v55,-14.752735025796014,14.752735025796014,-1.0
v56,14.679016772493963,14.679016772493963,1.0
v16,-14.46378474124235,14.46378474124235,-1.0
v36,-14.262513518124834,14.262513518124834,-1.0
v29,-14.025456044971826,14.025456044971826,-1.0
v11,-13.201598964434616,13.201598964434616,-1.0
v9,-13.182644648467992,13.182644648467992,-1.0
v20,12.883859412878957,12.883859412878957,1.0
v4,-12.855033148480972,12.855033148480972,-1.0
v39,-12.8071967166724,12.8071967166724,-1.0
v50,-12.315551986201491,12.315551986201491,-1.0
v53,12.30133574429735,12.30133574429735,1.0
v24,11.969915545330647,11.969915545330647,1.0
v43,11.889247804558668,11.889247804558668,1.0
v10,-11.487959886211662,11.487959886211662,-1.0
v1,10.286074289746008,10.286074289746008,1.0
v14,-10.275023732953798,10.275023732953798,-1.0
v21,10.077270028660191,10.077270028660191,1.0
v17,9.886618478697399,9.886618478697399,1.0
v38,8.511781627117712,8.511781627117712,1.0
v47,-8.120534152806755,8.120534152806755,-1.0
v35,7.266460596908457,7.266460596908457,1.0
v49,-6.992840930126654,6.992840930126654,-1.0
v40,-6.420656412325307,6.420656412325307,-1.0
v23,-6.369152440035904,6.369152440035904,-1.0
v8,-6.13322535482412,6.13322535482412,-1.0
v31,-5.671184741345378,5.671184741345378,-1.0
v41,-5.571055120409881,5.571055120409881,-1.0
v46,5.497275976040873,5.497275976040873,1.0
v33,5.163838239859146,5.163838239859146,1.0
v44,-5.150734658494032,5.150734658494032,-1.0
v22,-3.9870160664295007,3.9870160664295007,-1.0
v6,3.920546864054793,3.920546864054793,1.0
v48,3.7317168764879907,3.7317168764879907,1.0
v2,3.4978736302320925,3.4978736302320925,1.0
v34,-3.3881538237328175,3.3881538237328175,-1.0
v42,3.097201810410149,3.097201810410149,1.0
v18,-2.856318058904592,2.856318058904592,-1.0
v52,-2.5967646229353054,2.5967646229353054,-1.0
v26,-2.596058636246548,2.596058636246548,-1.0
v28,-2.462260775535736,2.462260775535736,-1.0
v7,-2.388870488827142,2.388870488827142,-1.0
v15,2.2638203101920227,2.2638203101920227,1.0
v30,-1.8158430996157158,1.8158430996157158,-1.0
v32,-1.413309531147739,1.413309531147739,-1.0
v19,-1.3469821552053995,1.3469821552053995,-1.0
v54,-1.328957020452071,1.328957020452071,-1.0
v25,1.0914344247004046,1.0914344247004046,1.0
v12,-0.37203253650861734,0.37203253650861734,-1.0
salary,1.2619420886039734e-07,1.2619420886039734e-07,1.0
